scheme_name,fund_house,risk_grade,sharpe_ratio
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Low,7.68
Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Low,6.18
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Low,5.14
