amfi_code,Sharpe_Ratio
100016,-0.16714840059316974
100025,-0.43906186984649176
100033,1.1201024840971274
101206,1.0615346276281645
101207,0.1820426258912979
101208,0.17172200172214144
102885,0.8560503753091656
102886,-0.17825996836323438
102887,0.651246766247274
118632,1.1169989835557546
118633,0.6809288334603569
118634,0.46824264092696366
118635,0.7033684274578705
118636,-0.23117593499643227
119092,0.06662544573170219
119093,0.16537144785822117
119094,1.0239947306022557
119095,-0.05602669388397618
119120,-0.1005375396046613
119551,1.2446528713667206
119552,0.9891491298286872
119598,0.9651964234751246
119599,-0.037146646167237514
120503,0.8339844002703709
120504,1.0613340619103406
120505,1.206020087885734
120506,0.6817076033555913
120507,1.5080481923792746
120841,0.5314091676407545
120842,0.10394105861162892
120843,1.33821626916725
120844,0.8853095780498028
125497,0.8098760458433806
125498,0.3278562694814518
148567,1.4835180500021588
148568,0.9586935505263745
148569,1.2632201587776626
149322,0.4988712852981583
149323,1.160296962863341
149324,0.9699244830158524
