scheme_name,fund_house,risk_grade,sharpe_ratio
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Moderate,1.06
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Moderate,1.06
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Moderate,1.03
