,Tracking_Error
100016,0.14412116530593946
100025,0.046097846273123175
100033,0.18758613210058753
101206,0.14456694038738985
101207,0.25159966120167043
101208,0.026643408768289016
102885,0.12774618202227364
102886,0.17982784205550398
102887,0.1559796725441867
118632,0.13899060972622151
118633,0.13900024145787143
118634,0.24765789687270418
118635,0.1291680447087649
118636,0.046209354693661414
119092,0.1362427806841648
119093,0.1373004240779602
119094,0.19044532522870028
119095,0.24596118426633634
119120,0.04626748361668081
119551,0.1371012726641961
119552,0.13764551622652188
119598,0.24603204381683716
119599,0.24525135750470883
120503,0.13673930805070475
120504,0.14313048757767427
120505,0.19043421777363795
120506,0.15043735819487858
120507,0.026740490598851866
120841,0.13364439735533418
120842,0.17673671089096196
120843,0.15640626554841286
120844,0.026902665337996828
125497,0.14475657944879045
125498,0.18023909745548344
148567,0.1416619405254964
148568,0.1529115190452924
148569,0.17411431545802708
149322,0.14138784610009852
149323,0.17505784351479436
149324,0.24364264265454624
